stock,period,modelo,retorno_no_stop,acerto_no_stop,sharpe_no_stop,drawdown_no_stop,capital_no_stop,retorno_stop,acerto_stop,sharpe_stop,drawdown_stop,capital_stop,retorno_bh,capital_bh,dias_bh
DIRR3,pos_pandemia,RegressaoLinear,-0.0035528326034545,0.5,-0.0434994559093969,0.0058625332227641,99644.71673965454,0.0112273136997222,0.5,0.1847126083535487,0.0014440336698613,101122.73136997224,0.0030175724029541,100301.7572402954,270
ELET3,pre_pandemia,RegressaoLinear,-0.008014894485473633,0.4713114754098361,-0.03834407084411728,0.01556712532043457,99198.51055145264,0.021766401405334472,0.4713114754098361,0.13632026352483811,0.0038096630859375,102176.64014053345,0.011857851028442376,101185.78510284424,248
EQTL3,pre_pandemia,RegressaoLinear,-0.006597664833068848,0.4426229508196721,-0.11419529365502022,0.006695801100819929,99340.23351669312,-0.004725020198822021,0.4426229508196721,-0.08627206987857844,0.0051118239084794554,99527.4979801178,0.0072425460815429684,100724.2546081543,248
CMIG4,pre_pandemia,RegressaoLinear,-0.0002948594093322754,0.4713114754098361,-0.017926361222913197,0.0008242965020730447,99970.51405906677,0.0006327053022384644,0.4713114754098361,0.042725458028856515,0.0004869916992961496,100063.27053022385,6.155061721801802e-05,100006.1550617218,248
BRAP3,pre_pandemia,RegressaoLinear,-0.001840012550354004,0.45081967213114754,-0.05762185408614596,0.0031083594533076716,99815.9987449646,0.0005201036071777344,0.45081967213114754,0.01818973887214141,0.001867395322662145,100052.01036071777,0.001961377143859863,100196.13771438599,248
ELET3,durante_pandemia,RegressaoLinear,-0.0029059257507324217,0.5134474327628362,-0.0069999970055751575,0.03133520322517347,99709.40742492676,0.06600517864227295,0.5134474327628362,0.21252568572709635,0.005367250481548635,106600.5178642273,0.0033835811614990234,100338.3581161499,413
EQTL3,durante_pandemia,RegressaoLinear,-0.0029459590911865233,0.48166259168704156,-0.014806626761121443,0.009974061053747527,99705.40409088135,0.019721927375793456,0.48166259168704156,0.12022679734638977,0.0043484924009489275,101972.19273757935,0.002609912872314453,100260.99128723145,413
CMIG4,durante_pandemia,RegressaoLinear,-0.0008112411499023438,0.48166259168704156,-0.019439226050708004,0.0028538535762754253,99918.87588500977,0.004411830444335937,0.48166259168704156,0.12808795433184067,0.0009159600559266714,100441.1830444336,0.0009702434539794922,100097.02434539795,413
BRAP3,durante_pandemia,RegressaoLinear,-0.006708156108856201,0.44987775061124696,-0.05947902393937576,0.012347286892147482,99329.18438911438,0.007259077806472778,0.44987775061124696,0.07968047553229557,0.0049230727703438604,100725.90778064728,0.006771669864654541,100677.16698646545,413
ELET3,pos_pandemia,RegressaoLinear,-0.0051757278442382815,0.45112781954887216,-0.02378158799657053,0.019679161647464347,99482.42721557617,0.01609827922821045,0.45112781954887216,0.08574959229910839,0.006948583597897784,101609.82792282104,0.0043483848571777275,100434.83848571777,270
EQTL3,pos_pandemia,RegressaoLinear,-0.0012040462493896485,0.5338345864661654,-0.012654043156001748,0.005949213325119092,99879.59537506104,0.004356297798156738,0.5338345864661654,0.05265883678673985,0.004815359601687632,100435.62977981567,0.0003422031402587891,100034.22031402588,270
CMIG4,pos_pandemia,RegressaoLinear,-0.001089139461517334,0.45864661654135336,-0.038062984025574426,0.0026929774668291336,99891.08605384827,0.0010007290840148926,0.45864661654135336,0.04009642166251166,0.001142870931340143,100100.07290840149,0.000912102222442627,100091.21022224426,270
BRAP3,pos_pandemia,RegressaoLinear,-0.0015336132049560546,0.5150375939849624,-0.014763111070603465,0.010359471846107375,99846.6386795044,0.011411240825653077,0.5150375939849624,0.13547087287886464,0.0038419614047462795,101141.12408256531,0.0015208177566528338,100152.08177566528,270
