stock,period,modelo,mse,rmse,mae,r2,retorno_no_sl,acerto_no_sl,sharpe_no_sl,drawdown_no_sl,capital_no_sl,retorno_sl,acerto_sl,sharpe_sl,drawdown_sl,capital_sl,retorno_bh,capital_bh,dias_bh
TEND3,durante_pandemia,ARIMA,1.8400888839623164,1.3564987592925828,0.6748495270466432,0.8982914749985367,0.010213985443115234,0.5266990291262136,0.028886651744291135,0.016986439766747272,101021.39854431152,0.03882781841278076,0.5266990291262136,0.13045004690260095,0.0072915963745117185,103882.78184127808,-0.010214591979980469,98978.54080200195,413
TEND3,pos_pandemia,ARIMA,0.6507298886904243,0.8066783055781432,0.39819295815728833,0.9784680105892827,-0.0039527897834777835,0.48698884758364314,-0.029840353151073067,0.010933769506632779,99604.72102165222,0.014659314303398133,0.48698884758364314,0.14624062205928035,0.0030040997366136083,101465.93143033981,-0.012457554340362548,98754.24456596375,270
DIRR3,pre_pandemia,ARIMA,0.0423344916160475,0.20575347291369714,0.13227557399182083,0.9795619386645408,-0.0003862133026123047,0.4979757085020243,-0.009596344398503124,0.0028677932479246582,99961.37866973877,0.0010366902685165404,0.4979757085020243,0.027614601238455893,0.0024852793205222636,100103.66902685165,0.0052725372314453125,100527.25372314453,248
DIRR3,durante_pandemia,ARIMA,0.24130541223019378,0.4912284725361446,0.2579562080063822,0.9132129477703543,-0.00629122257232666,0.470873786407767,-0.04814115310407961,0.011553323110239568,99370.87774276733,0.008050118060111999,0.470873786407767,0.07768356346767134,0.004090830125984279,100805.0118060112,-0.0009827499389648438,99901.72500610352,413
DIRR3,pos_pandemia,ARIMA,0.25318952852204013,0.5031794198117011,0.26389376635808903,0.8125187012067404,-0.007172110557556152,0.5018587360594795,-0.08724646860860116,0.009314863464091171,99282.78894424438,0.003804015669822693,0.5018587360594795,0.05858700653112105,0.002657495049981369,100380.40156698227,0.0030175724029541016,100301.75724029541,270
ELET3,pre_pandemia,ARIMA,0.9312250988341676,0.9650000512094119,0.6706890079175056,0.9187614145583944,0.004252714157104492,0.4939271255060729,0.0186313909251809,0.009929670333862304,100425.27141571045,0.022817279529571532,0.4939271255060729,0.12111435780916091,0.00408386686935978,102281.72795295715,0.011857851028442376,101185.78510284424,248
ELET3,durante_pandemia,ARIMA,1.6568942621409144,1.2872040483703096,0.7489095251297287,0.9573010695884705,0.018219242095947264,0.5169902912621359,0.04372071873305613,0.014863168930909195,101821.92420959473,0.05976118156433106,0.5169902912621359,0.17382137353321858,0.005995307534569209,105976.1181564331,0.0033835811614990234,100338.3581161499,413
ELET3,pos_pandemia,ARIMA,2.2513750735989277,1.500458287857056,0.7081600247558154,0.9134365259946575,-0.004251853942871094,0.49070631970260226,-0.019222041518555295,0.015049211267898306,99574.81460571289,0.005640783462524414,0.49070631970260226,0.027701851787002175,0.013398408432372442,100564.07834625244,0.0043483848571777275,100434.83848571777,270
EQTL3,pre_pandemia,ARIMA,0.0708631322994824,0.2662013003339435,0.1977897514856712,0.9782788119214454,0.00014626312255859375,0.46558704453441296,0.0024837340886491536,0.0035957150600337395,100014.62631225586,0.00020055509567260742,0.46558704453441296,0.003412905969273556,0.0035414642311602574,100020.05550956726,0.0072425460815429684,100724.2546081543,248
EQTL3,durante_pandemia,ARIMA,0.4674596505711787,0.6837102094975464,0.38094439934966523,0.9149465307373004,0.02699152183532715,0.5655339805825242,0.13634800975729647,0.004157724480870411,102699.15218353271,0.03696125683784485,0.5655339805825242,0.21303379371747808,0.0033826358649631373,103696.12568378448,0.002609912872314453,100260.99128723145,413
EQTL3,pos_pandemia,ARIMA,0.7853710670081352,0.8862116378202981,0.3204937920547031,0.5221037538548905,-0.003431802749633789,0.4944237918215613,-0.03575194923713006,0.009249403071286431,99656.81972503662,-0.001426476593017578,0.4944237918215613,-0.015952686672754863,0.007689396821136785,99857.35234069824,0.0003422031402587891,100034.22031402588,270
CMIG4,pre_pandemia,ARIMA,0.02351394194519137,0.15334256403618457,0.06147340540176062,0.3272511709205088,0.0005283675193786621,0.4939271255060729,0.03164093952796049,0.0007924857660965768,100052.83675193787,0.0007075846910476684,0.4939271255060729,0.04342340055603714,0.0007682434100178145,100070.75846910477,6.155061721801802e-05,100006.1550617218,248
CMIG4,durante_pandemia,ARIMA,0.02272461283418844,0.1507468501634062,0.08061612017666817,0.9527021961442008,0.001545485019683838,0.5194174757281553,0.03680146656847555,0.0016877525019115577,100154.54850196838,0.004435013999938965,0.5194174757281553,0.12421148941664052,0.0009773709427748625,100443.5013999939,0.0009702434539794922,100097.02434539795,413
CMIG4,pos_pandemia,ARIMA,0.05423039829941186,0.23287421132322028,0.08887521859015624,0.8892759799898199,0.00126234769821167,0.5092936802973977,0.04378405415892935,0.0013040419191493134,100126.23476982117,0.0017381643438339233,0.5092936802973977,0.06272077973465104,0.001112438817127402,100173.81643438339,0.000912102222442627,100091.21022224426,270
PETR3,pre_pandemia,ARIMA,0.07091393275830526,0.2662967006147565,0.1463145928743958,0.7294161606549825,0.0003768148422241211,0.4493927125506073,0.00871994067546082,0.002794895742574431,100037.68148422241,0.0013415694618225098,0.4493927125506073,0.03318806236698403,0.002157068250950187,100134.15694618225,0.0018779706954956037,100187.79706954956,248
PETR3,durante_pandemia,ARIMA,0.14290641044379282,0.37802964228191527,0.19079888628248756,0.9429483373715059,-9.45878028869629e-05,0.5266990291262136,-0.0008368591562946162,0.0068837743792088,99990.5412197113,0.011564844105243683,0.5266990291262136,0.14467346532680453,0.003686626637735186,101156.48441052437,-0.0006301403045654297,99936.98596954346,413
PETR3,pos_pandemia,ARIMA,0.20850856438277454,0.4566273802377323,0.2727694112938877,0.9806842439194406,0.00041380882263183596,0.5278810408921933,0.0043014318299686325,0.006510726412228556,100041.38088226318,0.005805130071640015,0.5278810408921933,0.06772644417903678,0.0030257201642568494,100580.513007164,0.009068082809448243,100906.80828094482,270
VALE3,pre_pandemia,ARIMA,0.8878637203153134,0.9422652069960523,0.4932561823201646,0.7467406729512126,0.026670164108276367,0.5303643724696356,0.1369400322203716,0.006336136186550656,102667.01641082764,0.0306705136680603,0.5303643724696356,0.1636177440872505,0.005391599790177432,103067.05136680603,0.002261587142944329,100226.15871429443,248
VALE3,durante_pandemia,ARIMA,1.891409530419235,1.375285254199737,0.9672356658430147,0.9947363518436878,0.04239227294921875,0.5558252427184466,0.08221646260259718,0.016573285360846634,104239.22729492188,0.07204169267654419,0.5558252427184466,0.15757387213029359,0.011155172730906864,107204.16926765442,0.03539482116699218,103539.48211669922,413
VALE3,pos_pandemia,ARIMA,10.223489868122394,3.197419251227839,1.3478431528146344,0.8072221703387625,-0.02942020034790039,0.4721189591078067,-0.07167768169942955,0.04748644044456148,97057.97996520996,-0.004477146835327148,0.4721189591078067,-0.01237179897796318,0.02687239483123371,99552.28531646729,-0.011627765655517585,98837.22343444824,270
BRAP3,pre_pandemia,ARIMA,0.0244610838162035,0.1564003958313517,0.0889820947264826,0.9115551646109811,0.0014818429946899414,0.4898785425101215,0.04530851440672385,0.002310173964431577,100148.184299469,0.002599376244544983,0.4898785425101215,0.08546052580290629,0.0018976836933518508,100259.9376244545,0.001961377143859863,100196.13771438599,248
BRAP3,durante_pandemia,ARIMA,0.10291028023303246,0.32079632203788194,0.20709926640183818,0.9921538343539602,0.002303263187408447,0.5145631067961165,0.02031230546882583,0.004778731924556226,100230.32631874084,0.009546630802154541,0.5145631067961165,0.09650650247847428,0.004554106091772624,100954.66308021545,0.006771669864654541,100677.16698646545,413
BRAP3,pos_pandemia,ARIMA,0.5247820483863818,0.7244184207944893,0.34742357542016084,0.9162032126253133,-0.01072469425201416,0.4684014869888476,-0.10313597126935266,0.015962574796804383,98927.53057479858,-0.005294589376449585,0.4684014869888476,-0.05580212211622125,0.010673391089545967,99470.54106235504,0.0015208177566528338,100152.08177566528,270
