stock,period,MSE,RMSE,MAE,R2,retorno_no_stop,acerto_no_stop,sharpe_no_stop,drawdown_no_stop,capital_no_stop,retorno_stop,acerto_stop,sharpe_stop,drawdown_stop,capital_stop,retorno_bh,capital_bh,dias_bh
PETR3,durante_pandemia,0.0002705624647883,0.0164487830792545,0.0140519837003679,0.9998911088075324,0.0001340298652648,0.4743276283618582,0.0011952754236852,0.0066030579264188,100013.40298652647,0.0086573272824287,0.4743276283618582,0.0877068632741716,0.0031652431564081,100865.73272824287,-0.0006301403045654,99936.98596954346,413
BRAP3,durante_pandemia,0.0004344640400268,0.0208438009975836,0.016102885604129,0.999966918111872,-0.001368215560913,0.4987775061124694,-0.0121157448950785,0.0061439578569095,99863.17844390868,0.0061033126497268,0.4987775061124694,0.0619400049661489,0.003362010031513,100610.33126497269,0.0067716698646545,100677.16698646544,413
ITUB4,pos_pandemia,5.252909573377843e-05,0.0072476958913697,0.0054008798170277,0.9999829191047396,0.0003833637237548,0.4473684210526316,0.0032231817507955,0.0078559611780064,100038.33637237547,0.0011187162208557,0.4473684210526316,0.0095022725552577,0.0076925365704339,100111.87162208556,-0.0018639430999755,99813.60569000244,270
BBAS3,pos_pandemia,0.0009404015470141,0.0306659672440661,0.0282961813465685,0.9997409875196902,-0.0051044692993164,0.4661654135338345,-0.0729120923339335,0.0076448339465014,99489.55307006836,-0.0023582101154327,0.4661654135338345,-0.0367931865248218,0.0053865747231881,99764.17898845673,0.0044904136657714,100449.04136657716,270
CYRE3,pos_pandemia,0.0016204292186535,0.0402545552534564,0.0324622130926436,0.9993635844192214,0.0100793113708496,0.5601503759398496,0.0898306806325278,0.0037980713267502,101007.93113708496,0.0194282570266723,0.5601503759398496,0.2030888876564305,0.0022825064270961,101942.82570266724,-0.0017994260787963,99820.05739212036,270
TEND3,pos_pandemia,0.007344309236734,0.0856989453653549,0.0625044491982322,0.9997548658045474,-0.0045133352279663,0.4887218045112781,-0.034323724965999,0.0121543308677977,99548.66647720335,0.011275663356781,0.4887218045112781,0.1017338396584567,0.0052199091456567,101127.5663356781,-0.0124575543403625,98754.24456596376,270
DIRR3,pos_pandemia,0.0002264694050503,0.0150489004598454,0.0132355105203226,0.999827939346406,-0.003613408088684,0.5037593984962406,-0.0442961960771654,0.0057081266251965,99638.6591911316,0.0059525813150405,0.5037593984962406,0.0898356748596868,0.0025049538804174,100595.25813150406,0.0030175724029541,100301.7572402954,270
ELET3,pos_pandemia,0.0083372658098394,0.0913086294379643,0.0815836127749099,0.9996820920024394,-0.0030446968078613,0.462406015037594,-0.0139758405511576,0.0195067037531416,99695.53031921388,0.005026681690216,0.462406015037594,0.0246177829876165,0.0141443778634942,100502.6681690216,0.0043483848571777,100434.83848571776,270
EQTL3,pos_pandemia,0.0014068828634431,0.0375084372300836,0.0304606261701396,0.9991358301369732,-0.0035376815795898,0.4661654135338345,-0.0371758894297638,0.006336821324701,99646.23184204102,-0.0015218409156799,0.4661654135338345,-0.017179275619348,0.0062108889604547,99847.815908432,0.0003422031402587,100034.22031402588,270
CMIG4,pos_pandemia,0.0002656378510942,0.0162984002618124,0.0158338029362567,0.9994604980492992,-0.0011138625144958,0.4586466165413533,-0.0389460110151269,0.0026928583195581,99888.61374855042,-0.0003528728151321,0.4586466165413533,-0.0131310760320813,0.001960579546389,99964.7127184868,0.0009121022224426,100091.21022224426,270
PETR3,pos_pandemia,0.0018367714762983,0.0428575719832367,0.0393116661910627,0.9998280738040002,-0.0092190074920654,0.4473684210526316,-0.0968601770858746,0.0132280087378856,99078.09925079346,-0.0032627820396423,0.4473684210526316,-0.0389279164636173,0.007286182425864,99673.72179603577,0.0090680828094482,100906.80828094482,270
BRAP3,pos_pandemia,0.0009367696747466,0.0306066932997781,0.0240207853652312,0.9998510875409026,-0.0030107479095458,0.5112781954887218,-0.0289886453505793,0.010891880695342,99698.9252090454,0.0027337553691864,0.5112781954887218,0.0290204047679803,0.0065303258495612,100273.37553691864,0.0015208177566528,100152.08177566528,270
VALE3,pre_pandemia,0.004075806619579536,0.06384204429354949,0.04740948801887459,0.9988336015447706,-0.0037899093627929686,0.4959016393442623,-0.01976541986176678,0.014404180804338572,99621.0090637207,0.0009827826499938966,0.4959016393442623,0.005315751752948801,0.010696055210429456,100098.27826499939,0.002261587142944329,100226.15871429443,248
VALE3,durante_pandemia,0.018748016234901934,0.1369233954987311,0.10892455775951572,0.9999478844524937,-0.05594917678833008,0.4474327628361858,-0.1092751474049437,0.07628656013598999,94405.08232116699,-0.01528204610824585,0.4474327628361858,-0.03449846581128555,0.04572221010423304,98471.79538917542,0.03539482116699218,103539.48211669922,413
VALE3,pos_pandemia,0.02728959915069009,0.1651956390183775,0.14295727750533774,0.9994872947613158,0.022378917694091796,0.5338345864661654,0.05477345525596117,0.023759510658116042,102237.89176940918,0.040987994499206544,0.5338345864661654,0.10924514036567406,0.017692064300165605,104098.79944992065,-0.011627765655517585,98837.22343444824,270
